name,rank,area,profile,homepage
Yagiz Aksoy, Assistant Professor," Computational photography, computer graphics, computer vision and deep learning
",/computing/people/faculty/yagizaksoy.html,http://yaksoy.github.io/
Saba Alimadadi, Assistant Professor, Software engineering,/computing/people/faculty/sabaalimadadi.html,/computing/people/faculty/sabaalimadadi.html
Ouldooz Baghban Karimi, Limited-Term Lecturer, Data & Networks,/computing/people/faculty/ouldoozbaghbankarimi.html,https://www.cs.sfu.ca/~oba2
Brad Bart," SENIOR LECTURER 
"," Instruction
",/computing/people/faculty/bradleybart.html,http://www.cs.sfu.ca/~bbart/
Andrei Bulatov, Professor," Constraint Satisfaction, Complexity of Computation
",/computing/people/faculty/andreibulatov.html,http://www.cs.sfu.ca/~abulatov/
SHEELAGH CARPENDALE," PROFESSOR
", Information Visualization,/computing/people/faculty/sheelaghcarpendale.html,https://www.cs.sfu.ca/~sheelagh/
Angel Chang, Assistant Professor ," Natural Language Processing, Artificial Intelligence, Computer Graphics",/computing/people/faculty/angelchang.html,http://angelxuanchang.github.io/
Victor Cheung, Limited-term Lecturer," Human-computer interaction, interface and interaction design",/computing/people/faculty/victor-cheung.html,
Diana Cukierman, University Lecturer," Instruction
",/computing/people/faculty/dianacukierman.html,
Toby Donaldson," Senior Lecturer
Associate Director"," Instruction
",/computing/people/faculty/tobydonaldson.html,
Martin Ester," Professor
"," Databases and Data Mining
",/computing/people/faculty/martinester.html,https://sites.google.com/view/esterlab
Brian Fraser, Senior Lecturer," Instruction
",/computing/people/faculty/brianfraser.html,http://www.cs.sfu.ca/~bfraser/
Uwe Glässer, Professor," Software Technology, Distributed Communication Architectures
",/computing/people/faculty/uweglasser.html,http://www.cs.sfu.ca/~glaesser/
Ghassan Hamarneh," Professor
"," Medical Image Analysis (Computational/Artificial Intelligence, Computer Vision, Image Processing)
",/computing/people/faculty/ghassanhamarneh.html,http://www.cs.sfu.ca/~hamarneh/
Hazra Imran, Limited-Term Lecturer," Personalization and Adaptivity in Learning Systems, Game-based Learning",/computing/people/faculty/hazra-imran.html,
Lawrence Kim,," Human-Computer Interaction, Human-Robot Interaction",/computing/people/faculty/lawrence-kim.html,https://www.lhkim.com/
Anne Lavergne, Senior Lecturer," Instruction
",/computing/people/faculty/annelavergne.html,http://www.cs.sfu.ca/~alavergn/
Maxwell Libbrecht, Assistant Professor, Computational Biology and Machine Learning,/computing/people/faculty/maxlibbrecht11.html,http://www.cs.sfu.ca/~maxwl/
Jiangchuan (JC) Liu," Professor
", Networking and multimedia communications,/computing/people/faculty/jiangchuanliu.html,http://www.cs.sfu.ca/~jcliu/
Ali Mahdavi-Amiri," Assistant Professor of Professional Practice
Master of Science in Professional Computer Science Chair and Program Director"," Visual computing, computer graphics, artificial intelligence",/computing/people/faculty/ali-mahdavi-amiri.html,https://sites.google.com/site/alimahdaviamiri/
David Mitchell, Associate Professor," Constraint satisfaction, Algorithms for deduction and other reasoning tasks
",/computing/people/faculty/davidmitchell.html,http://www.cs.sfu.ca/~mitchell/
Jian Pei, Professor," Databases and Data Mining
",/computing/people/faculty/jianpei.html,http://www.cs.sfu.ca/~jpei/
Fred Popowich, Professor, Computational Linguistics and Logic Programming,/computing/people/faculty/fredpopowich.html,http://www.cs.sfu.ca/~popowich/
Anoop Sarkar, Professor," Computational Linguistics; Machine Learning; Probabilistic Grammars and Formal language theory
",/computing/people/faculty/anoopsarkar.html,http://www.cs.sfu.ca/~anoop/
Oliver Schulte, Professor," Machine Learning, Computational Logic, Computational Decision Theory
",/computing/people/faculty/oliverschulte.html,http://www.cs.sfu.ca/~oschulte/
IGOR SHINKAR," ASSISTANT Professor
Graduate Program Committee Chair", Computational complexity,/computing/people/faculty/igorshinkar.html,
Harinder Singh Khangura," Senior Lecturer
Software Systems Chair and Program Director"," Instruction
",/computing/people/faculty/harindersinghkhangura.html,http://www.cs.sfu.ca/~hskhangu/
Andrea Tagliasacchi, Associate Professor ," Computer Vision, Computer Graphics, Deep Learning",/computing/people/faculty/andrea-tagliasacchi.html,https://taiya.github.io
Sharan Vaswani, Assistant Professor," Machine learning, Optimization, Reinforcement Learning",/computing/people/faculty/sharan-vaswani.html,https://vaswanis.github.io/
Jiannan Wang," Associate Professor
", Database Systems and Big Data,/computing/people/faculty/jiannanwang.html,https://www.cs.sfu.ca/~jnwang/
